,ID,ID2,Geographic.Area.Name,PERCPOV,PERCWHT,PERCBLK,PERCVAC,PERC25K,PERC75K,PERCNOHS,pri_neigh
61,1.70E+11,1500000US170310207021,"Block Group 1, Census Tract 207.02, Cook County, Illinois",3.814262023,73.07692308,0.613747954,5.427251732,38.21733822,13.91941392,19.41992434,
62,1.70E+11,1500000US170310207022,"Block Group 2, Census Tract 207.02, Cook County, Illinois",17.72334294,54.99153976,19.05245347,13.29113924,9.9756691,16.18004866,19.80920314,West Ridge
63,1.70E+11,1500000US170310207023,"Block Group 3, Census Tract 207.02, Cook County, Illinois",22.89855072,26.55561,4.507594317,7.394366197,15.39923954,10.2661597,40.29084688,West Ridge
64,1.70E+11,1500000US170310207024,"Block Group 4, Census Tract 207.02, Cook County, Illinois",21.31147541,30.53435115,3.562340967,0,20.52401747,1.310043668,11.28205128,
65,1.70E+11,1500000US170310208011,"Block Group 1, Census Tract 208.01, Cook County, Illinois",14.43569554,73.6163353,0,0,7.890961263,25.82496413,25.01878287,
66,1.70E+11,1500000US170310208012,"Block Group 2, Census Tract 208.01, Cook County, Illinois",0,75.42955326,0,18.06020067,0,26.53061224,4.243542435,West Ridge
67,1.70E+11,1500000US170310208013,"Block Group 3, Census Tract 208.01, Cook County, Illinois",4.530744337,67.45040411,0.073475386,12.19963031,26.10526316,19.78947368,19.8421646,
68,1.70E+11,1500000US170310208014,"Block Group 4, Census Tract 208.01, Cook County, Illinois",20.52173913,42.76676508,7.844791227,0,18.96984925,31.65829146,35.54006969,
69,1.70E+11,1500000US170310208021,"Block Group 1, Census Tract 208.02, Cook County, Illinois",11.42241379,65.40607564,0,0,10.45081967,45.69672131,19.32565789,West Ridge
70,1.70E+11,1500000US170310208022,"Block Group 2, Census Tract 208.02, Cook County, Illinois",20.05649718,19.32098765,8.148148148,13.14199396,17.04347826,18.7826087,17.85356068,West Ridge
71,1.70E+11,1500000US170310208023,"Block Group 3, Census Tract 208.02, Cook County, Illinois",38.52459016,40.89643653,3.118040089,4.661487236,35.38998836,12.10710128,39.91489362,West Ridge
72,1.70E+11,1500000US170310208024,"Block Group 4, Census Tract 208.02, Cook County, Illinois",27.13754647,40.05499542,29.69752521,17.26315789,32.31552163,16.03053435,11.58357771,West Ridge
73,1.70E+11,1500000US170310209011,"Block Group 1, Census Tract 209.01, Cook County, Illinois",29.61608775,40.84992343,30.43644717,13.80042463,25.86206897,10.96059113,19.84777518,West Ridge
74,1.70E+11,1500000US170310209012,"Block Group 2, Census Tract 209.01, Cook County, Illinois",8.243727599,49.89775051,27.91411043,9.166666667,16.81957187,38.22629969,19.1626409,
75,1.70E+11,1500000US170310209013,"Block Group 3, Census Tract 209.01, Cook County, Illinois",14.34878587,40.50682261,16.2962963,10.38674033,22.07151665,23.30456227,22.49698432,
76,1.70E+11,1500000US170310209021,"Block Group 1, Census Tract 209.02, Cook County, Illinois",9.764918626,49.90951864,19.5077814,5.803108808,28.93289329,10.56105611,26.80990191,
77,1.70E+11,1500000US170310209022,"Block Group 2, Census Tract 209.02, Cook County, Illinois",39.34065934,54.00479616,5.611510791,7.960199005,30,8.648648649,19.12850812,
78,1.70E+11,1500000US170310301011,"Block Group 1, Census Tract 301.01, Cook County, Illinois",4.924242424,64.47985005,29.42830366,28.40531561,17.16937355,6.728538283,21.75572519,Edgewater
79,1.70E+11,1500000US170310301012,"Block Group 2, Census Tract 301.01, Cook County, Illinois",15.84158416,60.51502146,9.227467811,12.46458924,35.5987055,11.97411003,0,Edgewater
80,1.70E+11,1500000US170310301013,"Block Group 3, Census Tract 301.01, Cook County, Illinois",14.85148515,24.42972774,42.75202355,14.89071038,31.30016051,4.975922953,9.156378601,Edgewater
