Quarter,EMPBR,EMPCH,EMPMX,EMPSA,CRISISBR,CRISISCH,CRISISMX,CRISISSA,CABR,CACH,CAMX,CASA,INFBR,INFCH,INFMX,INFSA,GROWTHBR,GROWTHCH,GROWTHMX,GROWTHSA
Q2 2016,0.363603924,-0.417791769,0.192281043,0.977476729,0,0,0,0,-0.173870582,-0.003607435,-0.277094386,-0.027673338,1.843614864,0.977233297,-0.334197829,2.272727273,0.185353571,-0.312003068,2.487706749,-0.180792481
Q3 2016,0.061558866,-0.719709404,0.210043624,-0.209322876,0,0,0,0,-0.431218119,-0.006842933,-0.240260851,-0.253200301,1.337939021,0.73284477,0.57763418,1.230769231,-0.717980939,1.711001963,2.704614985,-0.28172916
Q4 2016,0.082688851,-0.792496356,0.708629711,-0.369711198,0,0,0,0,-0.556902344,-0.002588795,-0.19145468,-0.002851564,0.681450209,0.309802283,1.793696586,0.945626478,0.822332567,1.016440815,1.351198232,-0.203508022
Q1 2017,-0.458844509,-0.030200288,0.315311077,0.259961711,0,0,0,0,-0.451638418,-0.005221067,-0.344954926,-0.181592787,0.946327427,0.707915467,2.880635129,1.8735363,0.434501653,-1.206604674,-0.502371487,0.511961366
Q2 2017,-0.938429114,-0.064752754,-0.129477786,-0.495503724,0,0,0,0,0.011902811,-0.005592372,-0.176855682,-0.067816517,0.547028431,0.534095999,0.72818764,1.05090312,0.464326876,2.725156694,0.534456379,0.595592135
Q3 2017,-0.688596756,-0.28184492,-0.150344315,-1.100561331,0,0,0,0,-0.424874375,-0.003763166,-0.229942307,-0.196489904,0.369894899,0.102824239,0.942595927,0.64998375,0.165043464,2.980832938,-0.067287195,1.336147608
Q4 2017,-0.346215849,-0.531028406,0.403023646,-0.675379597,0,0,0,0,-0.597169089,-0.003147311,-0.173168668,-0.047615512,0.926378147,0.660823119,1.899763107,0.87181143,1.45014087,0.303204093,0.362205563,0.524089749
Q1 2018,-0.408713387,-0.703590718,-0.193810928,0.171988531,0,0,0,0,-0.925984388,-0.003312102,-0.318073876,-0.369289562,0.922503323,0.687098201,1.637427852,1.312419974,1.078402811,0.582906683,1.153280148,-1.12247185
Q2 2018,-0.524704628,0.63044953,0.188412223,-0.809907366,0,0,0,0,-0.389856066,-0.007911907,-0.218888205,-0.063862821,1.077813378,0.689165907,0.022477083,1.421800948,0.208187849,1.169461515,0.963413565,0.293017844
Q3 2018,-0.649377682,0.880641625,-0.07108596,-0.33854482,0,0,0,0,-0.835075438,-0.009166233,-0.252089932,-0.259699848,1.404524556,0.748196611,1.274751711,1.214953271,-0.231354077,-0.581052582,0.210188571,1.216819428
Q4 2018,0.43831813,-1.160675897,0.369677104,-0.498322525,0,0,0,0,-0.786794516,-0.00880147,-0.20796136,-0.03235779,0.649866763,0.612761423,1.807027192,0.80024623,0.717734375,0.607066066,-0.589534737,0.212672737
Q1 2019,-0.42873037,-0.633965308,-0.657721272,0.731389472,0,0,0,0,-0.839047906,-0.004290561,-0.317983282,-0.244239624,0.88943975,0.228386072,0.945355209,0.671755725,-0.053791473,-0.353621183,0.276971682,-1.327478374
Q2 2019,-0.34845316,-0.09953348,-0.305534576,0.156454375,0,0,0,0,-0.525478331,-0.007472358,-0.079898505,-0.092880548,1.306717345,1.01713946,0.129172681,1.668183197,0.808536059,1.090379536,0.846844224,0.854975206
Q3 2019,0.458094736,0.013768478,0.413460494,-1.786644013,0,0,0,0,-1.193811912,-0.007414124,-0.161984116,-0.27105427,0.300287816,0.585177678,0.398628666,0.954653938,1.342193574,0.429346876,-0.011565001,0.465112543
Q4 2019,0.665404884,0.374270367,-0.052517871,0.486859582,0,0,0,0,-1.017016028,-0.005791856,-0.098584351,0.055630111,0.836184276,0.975039002,1.440415806,0.413711584,-0.048156778,-3.352988919,-1.929549693,0.415598289
Q1 2020,0.217719997,1.834678698,-0.284463963,1.097544425,0,0,0,0,-1.040414752,-0.00094874,-0.27175449,-0.006690189,1.338006258,1.07184241,1.390511839,1.236021189,-1.171048342,2.601401391,-1.095860378,-0.014097225
Q2 2020,-1.920355559,1.913912099,0.619364374,-0.753342309,0,0,0,0,0.323823517,0.004455886,-0.210898892,-0.013756241,-0.347214855,0.270692016,-0.472867878,-0.261627907,-7.765896924,-7.686868274,-18.09063037,-16.75051041
Q3 2020,-0.760169561,-1.087793094,-0.852492677,-1.085234643,0,0,0,0,-0.014154433,0.000399561,0.112321248,0.315545927,0.781638447,0.336657562,1.49532417,1.632177208,7.344768877,5.806806631,14.79143141,14.52948506
Q4 2020,0.036373499,-0.523488696,-0.627846528,-0.142447435,0,0,0,0,-0.636669282,0.001138011,0.111477163,0.354562689,2.431924264,1.177513295,1.07474685,0.544880987,2.723982864,5.594238882,3.26367818,5.070517918
